datetime,open,high,low,close,volume
2024-12-25,30.08,31.3,30.08,30.52,1346546
2024-12-26,30.83,30.83,30.12,30.36,525331
2024-12-27,29.96,30.44,29.81,30.12,433876
2024-12-30,30.12,30.16,29.45,29.45,337989
2024-12-31,29.26,29.77,29.26,29.65,320880
2025-01-02,29.65,29.85,29.45,29.69,253874
