datetime,open,high,low,close,volume
2024-12-25,10.75,10.85,10.66,10.71,17900
2024-12-26,10.8,11.08,10.75,11.03,53089
2024-12-27,11.08,11.08,10.71,11.08,72801
2024-12-30,10.94,11.17,10.94,11.17,41700
2024-12-31,11.13,11.92,11.13,11.92,221464
2025-01-02,12.25,12.72,12.25,12.72,258799
