datetime,open,high,low,close,volume
2024-12-25,4.19,4.3,4.19,4.28,94600
2024-12-26,4.23,4.3,4.18,4.25,60800
2024-12-27,4.27,4.35,4.27,4.33,160300
2024-12-30,4.4,4.45,4.22,4.4,106100
2024-12-31,4.39,4.4,4.3,4.31,67400
2025-01-02,4.3,4.31,4.24,4.25,46100
