datetime,open,high,low,close,volume
2024-12-25,9.9,9.9,9.9,9.9,610
2024-12-26,9.94,9.94,9.85,9.85,1603
2024-12-27,9.9,10.32,9.9,9.9,1406
2024-12-30,9.9,9.9,9.9,9.9,8
2024-12-31,9.9,9.9,9.9,9.9,0
2025-01-02,9.9,9.9,9.9,9.9,0
