datetime,open,high,low,close,volume
2024-12-25,63.22,64.27,63.22,63.41,179831
2024-12-26,63.41,63.98,63.02,63.31,172686
2024-12-27,63.31,63.69,62.45,62.93,138102
2024-12-30,62.35,62.83,62.26,62.35,117910
2024-12-31,63.22,65.9,62.45,64.46,867279
2025-01-02,64.46,65.63,63.98,64.37,49922
