datetime,open,high,low,close,volume
2024-12-25,12.65,13.0,12.2,12.35,62500
2024-12-26,12.5,12.5,12.1,12.2,51300
2024-12-27,12.6,12.6,12.2,12.2,30000
2024-12-30,12.25,12.4,11.65,12.4,25700
2024-12-31,12.5,12.5,12.0,12.15,34900
2025-01-02,12.3,12.3,12.0,12.1,22300
